date,state,district
2021-12-27,Sarawak,Tanjung Manis
2021-12-28,Sarawak,Bau
2022-01-09,Sarawak,Simunjan
2022-01-16,Sarawak,Beluru
2022-01-16,Sarawak,Daro
2022-01-26,Sarawak,Marudi
2022-01-29,Sarawak,Sri Aman
2022-02-05,Sarawak,Telang Usan
2022-02-12,Sarawak,Lundu
2022-02-14,Sarawak,Subis
2021-09-04,Sarawak,Sibu
2021-09-04,Sarawak,Tanjung Manis
2021-09-06,Sarawak,Kanowit
2021-09-20,Sarawak,Song
2021-09-27,Sarawak,Lawas
2021-09-30,Sarawak,Samarahan
2021-10-07,Sarawak,Simunjan
2021-10-25,Sarawak,Dalat
2021-10-27,Sarawak,Daro
2021-10-28,Sarawak,Sebauh
2021-11-03,Sarawak,Miri
2021-11-05,Sarawak,Asajaya
2021-11-17,Sarawak,Lundu
2021-11-22,Sarawak,Samarahan
2021-11-22,Sarawak,Subis
2021-11-27,Sarawak,Sarikei
2021-12-05,Sarawak,Sarikei
2021-12-09,Perak,Kinta
2021-12-14,Perak,Kinta
2021-12-15,Sarawak,Marudi
2021-12-17,Sarawak,Maradong
2021-12-24,Sarawak,Kabong
2021-12-26,Sarawak,Selangau
2021-12-27,Sarawak,Sarikei
2022-01-07,Sarawak,Beluru
2022-01-08,Sarawak,Matu
2022-01-11,Sarawak,Daro
2022-01-11,Sarawak,Tanjung Manis
2022-01-13,Sarawak,Samarahan
2022-01-16,Sarawak,Kapit
2022-01-18,Sarawak,Kabong
2022-01-19,Sarawak,Belaga
2022-01-24,Sarawak,Pakan
2022-02-05,Sarawak,Selangau
2022-02-08,Sarawak,Telang Usan
2022-02-09,Sarawak,Telang Usan
2022-02-18,Sarawak,Pusa
2022-02-20,Sarawak,Samarahan
2021-09-07,Sarawak,Samarahan
2021-09-11,Sarawak,Matu
2021-09-20,Sarawak,Kabong
2021-09-25,Sarawak,Limbang
2021-09-26,Sarawak,Subis
2021-09-29,Sarawak,Beluru
2021-09-29,Sarawak,Maradong
2021-10-01,Sarawak,Pusa
2021-10-02,Sarawak,Kapit
2021-10-04,Sarawak,Julau
2021-10-08,Sarawak,Matu
2021-10-09,Sarawak,Kabong
2021-10-12,Sarawak,Serian
2021-10-20,Sarawak,Maradong
2021-10-26,Sarawak,Song
2021-10-27,Sarawak,Selangau
2021-11-08,Sarawak,Sarikei
2021-11-11,Sarawak,Bintulu
2021-11-15,Sarawak,Sarikei
2021-11-25,Sarawak,Serian
2021-11-26,Sarawak,Tatau
2021-11-29,Sarawak,Beluru
2021-12-03,Sarawak,Limbang
2021-12-06,Sarawak,Simunjan
2021-12-07,Sarawak,Julau
2021-12-08,Sarawak,Lundu
2021-12-12,Sarawak,Sibu
2021-12-21,Sarawak,Belaga
2021-12-22,Sarawak,Maradong
2021-12-26,Sarawak,Tebedu
2021-12-29,Sarawak,Serian
2022-01-02,Sarawak,Limbang
2022-01-11,Sarawak,Telang Usan
2022-01-12,Sarawak,Asajaya
2022-01-16,Sarawak,Lubok Antu
2022-01-19,Sarawak,Beluru
2022-01-25,Sarawak,Sarikei
2022-01-26,Sarawak,Limbang
2022-01-26,Sarawak,Samarahan
2022-01-27,Sarawak,Saratok
2022-02-09,Sarawak,Kapit
2022-02-13,Sarawak,Bintulu
2022-02-17,Sarawak,Beluru
2022-02-19,Sarawak,Matu
2022-02-21,Sarawak,Bau
2022-02-21,Sarawak,Telang Usan
2022-02-24,Sarawak,Limbang
2021-09-04,Sarawak,Beluru
2021-09-08,Sarawak,Limbang
2021-09-08,Sarawak,Matu
2021-09-13,Sarawak,Telang Usan
2021-09-14,Sarawak,Pusa
2021-09-20,Sarawak,Kuching
2021-09-20,Sarawak,Pakan
2021-09-28,Sarawak,Beluru
2021-10-02,Sarawak,Sibu
2021-10-03,Sarawak,Lundu
2021-10-06,Sarawak,Pakan
2021-10-12,Sarawak,Tanjung Manis
2021-10-17,Sarawak,Lundu
2021-10-19,Sarawak,Daro
2021-10-27,Sarawak,Kabong
2021-11-10,Sarawak,Marudi
2021-11-14,Sarawak,Maradong
2021-12-07,Sarawak,Matu
2021-12-10,Sarawak,Serian
2021-12-29,Sarawak,Saratok
2021-12-29,Sarawak,Song
2022-01-15,Sarawak,Tebedu
2022-01-23,Sarawak,Song
2022-01-30,Sarawak,Kuching
2022-01-31,Sarawak,Telang Usan
2022-02-02,Sarawak,Matu
2022-02-06,Sarawak,Sri Aman
2022-02-16,Sarawak,Kabong
2022-02-18,Sarawak,Sri Aman
2022-02-22,Sarawak,Dalat
2021-09-24,Sarawak,Bau
